screen,state,applicability,condition,visible,allowed_actions,preservation,focus,proof,contract_refs
V08,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,할당 검토 없음 또는 이미 종료; 현재 receipt로,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,정확 범위·원 제출자·source/계산·차이·필수 이슈·현재 허용 상태,DECIDE_REVIEW;REQUEST_GATE;CANCEL_PENDING;SUBMIT_REVIEW;REVISE_REVIEW_CYCLE;WITHDRAW_REVIEW_DECISION;CANCEL_REVIEW_CYCLE;NAV_INPUTS;NAV_WAGE,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족; offer listed recovery only when its exact command-map.when_offered holds; no override of unknown/disclosure denial,필수근거 미충족/동일인/추가gate필요; blind approve 없음,RECOVERY_ROUTE;REFRESH;REQUEST_GATE;REVISE_REVIEW_CYCLE;NAV_INPUTS;NAV_WAGE,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,PC1 exact 단위만; 나머지 숨긴 대상 승인하지 않음,DECIDE_REVIEW;REQUEST_GATE;REFRESH;RECOVERY_ROUTE;NAV_INPUTS;NAV_WAGE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜; offer listed recovery only when its exact command-map.when_offered holds; no override of unknown/disclosure denial,proposal/source/policy 변경; 새 현재 intent/gate 필요,REFRESH;RECOVERY_ROUTE;REVISE_REVIEW_CYCLE;CANCEL_REVIEW_CYCLE;NAV_INPUTS;NAV_WAGE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,급여안·검토단위 결정의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; decision command/coverage receipt; gate permit≠decision,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V08,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",내 exact 검토 완료; 전역 completion은 별도 허용 evidence; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DECIDE_REVIEW;REQUEST_GATE;CANCEL_PENDING;SUBMIT_REVIEW;REVISE_REVIEW_CYCLE;WITHDRAW_REVIEW_DECISION;CANCEL_REVIEW_CYCLE;NAV_INPUTS;NAV_WAGE,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
V09,LOADING,APPLIES,현재 context의 authorized DTO 조회중,PREPARING/ACTIVE/STOPPED 및 perCompany last-known/receipt; hidden counts 없음의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,알려진 op의 실대상0은 owner invariant오류; 신규빈 GET은 생성안함,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,PREPARING/ACTIVE/STOPPED 및 perCompany last-known/receipt; hidden counts 없음,RESULT_RECONCILE;RESUME_GROUP;STOP_GROUP,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,준비/현재 actor 권한 부족: current owner 보완; 입력유지,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,성공/대기/차단/unknown 각 대상 사실; 전체성공토스트 금지,RESULT_RECONCILE;STOP_GROUP;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜; offer listed recovery only when its exact command-map.when_offered holds; no override of unknown/disclosure denial,membership incarnation/actorcontext 변경; GO1 새검토/명시resume,REFRESH;RECOVERY_ROUTE;RESUME_GROUP,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,전사 계산 실행·복구의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,RESULT_RECONCILE;RECOVERY_ROUTE;STOP_GROUP,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V09,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",허용 selected 범위 계산 완료; 지급/승인 아님; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;RESULT_RECONCILE;RESUME_GROUP;STOP_GROUP,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,parent/child command receipts; 기존 mirror absence로 no-effect 추정금지,UX1.6;UX1.7;GO1
V10,LOADING,APPLIES,현재 context의 authorized DTO 조회중,공개 검토본 kind·원 version·허용 금액/basis·정정경고·내요청의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,공개된 검토본 없음; 기간문의 가능; 내부 run 유무 숨김,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,공개 검토본 kind·원 version·허용 금액/basis·정정경고·내요청,OPEN_OWN_REQUEST;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,허용 과거기록 source 확인불가: 문의/복구,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,허용 필드만; 종속 totals/deltas도 별도 공개정책,OPEN_OWN_REQUEST;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,공개 본문은 불변; 현재 정정/보안상태 재조회,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,나의 급여 기록의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,UNKNOWN,NOT_APPLICABLE,조회/탐색 전용 surface는 business mutation receipt를 갖지 않음,이 화면의 조회 불확실성은 LOADING/FAILED/PARTIAL; linked action의 UNKNOWN은 해당 owner surface에서,REFRESH,허용 filter/navigation만,조회 상태 heading,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
V10,SUCCESS,APPLIES,Successful authorized read/navigation resolves to usable READY content; preserve currently authorized read-context actions,허용 publication 조회; 읽음/수신=급여동의 아님; next navigation uses screen-map.success destination and currently authorized object link; 본인 정정요청 등 현재 허용 진입은 refresh 없이 유지,OPEN_OWN_REQUEST;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,authorized current read/scope projection,UX1.6;UX1.7;PR1;EC1
S01,LOADING,APPLIES,현재 context의 authorized DTO 조회중,D의 의도·허가 범위·유효기간·허가자 독립성; salary decision과 구분의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,진행 gate없음; 자동 payroll승인 없음,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,D의 의도·허가 범위·유효기간·허가자 독립성; salary decision과 구분,DECIDE_GATE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,필수 scope/증거/자연인검증 부족; owner repair,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패,gate 필수 검토범위를 못보면 결정불가; 적격자task,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,gate expired/revoked/contentchanged: 새 intent; old허가 재사용금지,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,결정 실행허가의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; governance command receipt; payroll상태는 별도,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S01,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",gate receipt; D는 V08에서 exact decision 명시 실행; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DECIDE_GATE,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,governance command receipt; payroll상태는 별도,UX1.6;UX1.7;AC1
S02,LOADING,APPLIES,현재 context의 authorized DTO 조회중,허용 수신대상/범위·검토증거·public projection 종류·미지급 의미의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,공개대상0: 실행없음; 수신권한/대상 보완,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,허용 수신대상/범위·검토증거·public projection 종류·미지급 의미,DRAFT_SAVE;RELEASE_REVIEW;REPLACE_PROJECTION,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,미승인/subject proof/source 미준비; whole selection block or explicit subset,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패,필수 대상metadata 불가하면 선택불가; amounts read없이 publish는PR1조건,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,source/subject/projection/current-slot 변경: preview refresh,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,본인 검토본 공개·표시 정정의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; publication/replace command receipt; 중복CURRENT 금지,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S02,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",publication receipt·현재slot; 본인 V10; 지급발행 아님; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_SAVE;RELEASE_REVIEW;REPLACE_PROJECTION,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,publication/replace command receipt; 중복CURRENT 금지,UX1.6;UX1.7;PR1
S03,LOADING,APPLIES,현재 context의 authorized DTO 조회중,선택 원항목/basis·제출공개 범위·실제 case상태·답변·정정본의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,기존 request없음: authorized own input; nopublication도 기간문의 가능,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,선택 원항목/basis·제출공개 범위·실제 case상태·답변·정정본,DRAFT_SAVE;SUBMIT_OWN_REQUEST;OWN_CASE_UPDATE;OPEN_HISTORY,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,필수 type/연결정보 부족; 대체금액/첨부 강요없음,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,본인 허용 content만; 내부 coworker/handler정보 별도,DRAFT_SAVE;OWN_CASE_UPDATE;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,request revision/own권한 변화; 새evidence 검토후 CAS,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,내 확인·정정 요청의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; case submit/update receipt; handler없어도 접수보존,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S03,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",case 접수/본인 추가response receipt; 새published 결과와 답변 확인; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_SAVE;SUBMIT_OWN_REQUEST;OWN_CASE_UPDATE;OPEN_HISTORY,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,case submit/update receipt; handler없어도 접수보존,UX1.6;UX1.7;PR1;FD1
S04,LOADING,APPLIES,현재 context의 authorized DTO 조회중,최신 narrative·각 issue·허용 근거·원액/현재정정상태·다음 필요업무의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,현재 할당없음/이미처리됨; 현재허용 결과확인,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,최신 narrative·각 issue·허용 근거·원액/현재정정상태·다음 필요업무,DRAFT_SAVE;RESPOND_CASE;HANDOVER_PLAN;OPEN_HISTORY,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,미답변 issue/필수 hiddenevidence/미공개정정본; 완료차단,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패,볼수있는 근거만; 전체필수 issue불가하면 적격handler,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,새request evidence/assignment epoch; oldresponse 실행금지,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,급여 문의·정정 처리의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S04,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; response/domaineffect receipt; 재배정만으로 case완료 금지,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
